cod_setor,pop,renda_mensal_total
330040705040014,300,296360
330040705040015,NA,22260
330040705040016,604,603948
330040705040017,227,184024
330040705040018,309,506462
330040705040019,899,852411
330040705040020,711,939394
330040705040021,664,358979
330040705040022,114,90981
330040705040023,783,1566846
330040705040024,534,378419
330040705040025,196,543295
330040705040026,453,879083
330040705040027,435,1024171
330040705040028,428,303158
330040705040029,524,276330
330040705040030,965,615866
330040705040031,323,142462
330040705040032,89,167810
330040705040033,1066,467213
330040705040034,404,128197
330040705040035,711,189292
330040705040036,1119,399036
330040705040037,423,139053
330040705040038,37,8590
330040705040039,430,195238
330040705040040,37,13727
330040705040041,426,192081
330040705040042,280,94182
330040705040043,981,350860
330040705040044,678,279841
330040705040045,556,319311
330040705040046,215,59993
330040705040047,120,196500
330040705040048,465,121995
330040705040049,143,92298
330040705040050,355,508880
330040705040051,417,262963
330040705040052,5,X
330040705040053,125,323410
330040705040054,89,179035
330040705040055,58,78301
330040705040056,174,391945
330040705040057,84,227895
330040705040058,66,125280
330040705040059,602,258508
330040705040060,472,147524
330040705040061,110,25201
330040705040063,5,X
330040705050001,915,438191
330040705050002,603,269765
330040705050003,58,29732
330040705050004,480,205827
330040705050005,378,174047
330040705050006,206,110193
330040705050007,626,393970
330040705050008,470,271270
330040705050009,229,104337
330040705050010,46,20892
330040705050011,721,355818
330040705050012,166,70352
330040705050013,334,176906
330040705050014,57,13987
330040705050015,964,421032
330040705050016,483,193732
330040705050017,164,65471
330040705050018,665,297168
330040705050019,270,136522
330040705050020,351,161029
330040705050021,109,41900
330040705050022,330,275010
330040705050023,190,168126
330040705050024,217,125259
330040705050025,348,184667
330040705050026,209,119983
330040705050028,366,90434
330040705050029,19,9308
330040705050030,876,361322
330040705050032,114,16270
330040705050033,209,34068
330040705060001,282,132433
330040705060002,213,184676
330040705060003,294,496242
330040705060004,307,X
330040705060005,400,620745
330040705060006,247,112765
330040705060007,123,67444
330040705060008,450,289309
330040705060009,884,433859
330040705060010,130,37483
330040705060012,470,202647
330040705060013,513,292948
330040705060014,383,186272
330040705060015,241,120273
330040705060016,612,288244
330040705060017,323,160011
330040705060018,424,193172
330040705060019,89,35873
330040705060020,223,82402
